Product Name,Set,Card Number,Rarity,Variance,Grade,Card Condition,Quantity,Series,File Name
Barboach ,Astral Radiance,35,Common,Normal,Ungraded,Near Mint,9,Sword and shield,Barboach 
Bergmite ,Astral Radiance,47,Common,Normal,Ungraded,Near Mint,9,Sword and shield,Bergmite 
Bisharp ,Astral Radiance,116,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Bisharp 
Bronzong ,Astral Radiance,112,Uncommon,Normal,Ungraded,Near Mint,8,Sword and shield,Bronzong 
Bronzor ,Astral Radiance,111,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Bronzor 
Canceling Cologne ,Astral Radiance,136,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Canceling Cologne 
Chatot ,Astral Radiance,129,Common,Normal,Ungraded,Near Mint,15,Sword and shield,Chatot 
Choy ,Astral Radiance,137,Uncommon,Normal,Ungraded,Near Mint,1,Sword and shield,Choy 
Combee ,Astral Radiance,11,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Combee 
Cranidos ,Astral Radiance,76,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Cranidos 
Cyllene ,Astral Radiance,138,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Cyllene 
Cyndaquil ,Astral Radiance,23,Common,Normal,Ungraded,Near Mint,9,Sword and shield,Cyndaquil 
Dark Patch ,Astral Radiance,139,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Dark Patch 
Dartrix ,Astral Radiance,20,Uncommon,Normal,Ungraded,Near Mint,8,Sword and shield,Dartrix 
Dewott ,Astral Radiance,42,Uncommon,Normal,Ungraded,Near Mint,8,Sword and shield,Dewott 
Drifblim ,Astral Radiance,64,Uncommon,Normal,Ungraded,Near Mint,7,Sword and shield,Drifblim 
Drifloon ,Astral Radiance,63,Common,Normal,Ungraded,Near Mint,12,Sword and shield,Drifloon 
Eevee ,Astral Radiance,119,Common,Normal,Ungraded,Near Mint,12,Sword and shield,Eevee 
Energy Loto ,Astral Radiance,140,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Energy Loto 
Feather Ball ,Astral Radiance,141,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Feather Ball 
Gapejaw Bog ,Astral Radiance,142,Uncommon,Normal,Ungraded,Near Mint,7,Sword and shield,Gapejaw Bog 
Gardenia's Vigor ,Astral Radiance,143,Uncommon,Normal,Ungraded,Near Mint,7,Sword and shield,Gardenia's Vigor 
Glaceon ,Astral Radiance,38,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Glaceon 
Glameow ,Astral Radiance,127,Common,Normal,Ungraded,Near Mint,9,Sword and shield,Glameow 
Golduck ,Astral Radiance,29,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Golduck 
Grant ,Astral Radiance,144,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Grant 
Gutsy Pickaxe ,Astral Radiance,145,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Gutsy Pickaxe 
Heracross ,Astral Radiance,8,Common,Normal,Ungraded,Near Mint,13,Sword and shield,Heracross 
Hippopotas ,Astral Radiance,79,Common,Normal,Ungraded,Near Mint,13,Sword and shield,Hippopotas 
Hippowdon ,Astral Radiance,80,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Hippowdon 
Hisuian Arcanine ,Astral Radiance,71,Rare,Normal,Ungraded,Near Mint,4,Sword and shield,Hisuian Arcanine 
Hisuian Avalugg ,Astral Radiance,48,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Hisuian Avalugg 
Hisuian Basculegion ,Astral Radiance,44,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Hisuian Basculegion 
Hisuian Basculin ,Astral Radiance,43,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Hisuian Basculin 
Hisuian Braviary ,Astral Radiance,132,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Hisuian Braviary 
Hisuian Electrode ,Astral Radiance,3,Uncommon,Normal,Ungraded,Near Mint,8,Sword and shield,Hisuian Electrode 
Hisuian Growlithe ,Astral Radiance,70,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Hisuian Growlithe 
Hisuian Heavy Ball ,Astral Radiance,146,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Hisuian Heavy Ball 
Hisuian Overqwil (90),Astral Radiance,90,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Hisuian_Overqwil_90
Hisuian Overqwil (91),Astral Radiance,91,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Hisuian_Overqwil_91
Hisuian Qwilfish (88),Astral Radiance,88,Common,Normal,Ungraded,Near Mint,13,Sword and shield,Hisuian_Qwilfish_88
Hisuian Qwilfish (89),Astral Radiance,89,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Hisuian_Qwilfish_89
Hisuian Sneasel ,Astral Radiance,92,Common,Normal,Ungraded,Near Mint,12,Sword and shield,Hisuian Sneasel 
Hisuian Voltorb ,Astral Radiance,2,Common,Normal,Ungraded,Near Mint,19,Sword and shield,Hisuian Voltorb 
Hoothoot ,Astral Radiance,120,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Hoothoot 
Jubilife Village ,Astral Radiance,148,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Jubilife Village 
Kamado ,Astral Radiance,149,Uncommon,Normal,Ungraded,Near Mint,7,Sword and shield,Kamado 
Kirlia ,Astral Radiance,61,Uncommon,Normal,Ungraded,Near Mint,10,Sword and shield,Kirlia 
Kleavor ,Astral Radiance,85,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Kleavor_85
Kricketot ,Astral Radiance,9,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Kricketot 
Kricketune ,Astral Radiance,10,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Kricketune 
Leafeon ,Astral Radiance,13,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Leafeon 
Magnemite ,Astral Radiance,105,Common,Normal,Ungraded,Near Mint,12,Sword and shield,Magnemite 
Magneton ,Astral Radiance,106,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Magneton 
Mamoswine ,Astral Radiance,33,Rare,Normal,Ungraded,Near Mint,4,Sword and shield,Mamoswine 
Mantine ,Astral Radiance,34,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Mantine 
Mightyena ,Astral Radiance,96,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Mightyena 
Misdreavus ,Astral Radiance,58,Common,Normal,Ungraded,Near Mint,13,Sword and shield,Misdreavus 
Mismagius ,Astral Radiance,59,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Mismagius 
Nickit ,Astral Radiance,103,Common,Normal,Ungraded,Near Mint,6,Sword and shield,Nickit 
Noctowl ,Astral Radiance,121,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Noctowl 
Oshawott ,Astral Radiance,41,Common,Normal,Ungraded,Near Mint,1,Sword and shield,Oshawott 
Pawniard ,Astral Radiance,115,Common,Normal,Ungraded,Near Mint,14,Sword and shield,Pawniard 
Petilil ,Astral Radiance,15,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Petilil 
Piloswine ,Astral Radiance,32,Uncommon,Normal,Ungraded,Near Mint,9,Sword and shield,Piloswine 
Ponyta ,Astral Radiance,21,Common,Normal,Ungraded,Near Mint,9,Sword and shield,Ponyta 
Poochyena ,Astral Radiance,95,Common,Normal,Ungraded,Near Mint,13,Sword and shield,Poochyena 
Psyduck ,Astral Radiance,28,Common,Normal,Ungraded,Near Mint,10,Sword and shield,Psyduck 
Purugly ,Astral Radiance,128,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Purugly 
Quilava ,Astral Radiance,24,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Quilava 
Ralts ,Astral Radiance,60,Common,Normal,Ungraded,Near Mint,12,Sword and shield,Ralts 
Rapidash ,Astral Radiance,22,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Rapidash 
Regice ,Astral Radiance,37,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Regice 
Regidrago ,Astral Radiance,118,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Regidrago 
Regieleki ,Astral Radiance,51,Rare,Normal,Ungraded,Near Mint,4,Sword and shield,Regieleki 
Regirock ,Astral Radiance,75,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Regirock 
Registeel ,Astral Radiance,108,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Registeel 
Rowlet ,Astral Radiance,19,Common,Normal,Ungraded,Near Mint,12,Sword and shield,Rowlet 
Roxanne ,Astral Radiance,150,Uncommon,Normal,Ungraded,Near Mint,7,Sword and shield,Roxanne 
Rufflet ,Astral Radiance,131,Common,Normal,Ungraded,Near Mint,10,Sword and shield,Rufflet 
Scyther,Astral Radiance,4,Common,Normal,Ungraded,Near Mint,12,Sword and shield,Scyther_4
Scyther ,Astral Radiance,5,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Scyther_5
Shaymin ,Astral Radiance,14,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Shaymin 
Shieldon ,Astral Radiance,109,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Shieldon 
Spicy Seasoned Curry ,Astral Radiance,151,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Spicy Seasoned Curry 
Stantler ,Astral Radiance,125,Common,Normal,Ungraded,Near Mint,20,Sword and shield,Stantler 
Sudowoodo ,Astral Radiance,74,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Sudowoodo 
Supereffective Glasses ,Astral Radiance,152,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Supereffective Glasses 
Sweet Honey ,Astral Radiance,153,Uncommon,Normal,Ungraded,Near Mint,7,Sword and shield,Sweet Honey 
Swinub ,Astral Radiance,31,Common,Normal,Ungraded,Near Mint,10,Sword and shield,Swinub 
Switch Cart ,Astral Radiance,154,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Switch Cart 
Teddiursa ,Astral Radiance,122,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Teddiursa 
Temple of Sinnoh ,Astral Radiance,155,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Temple of Sinnoh 
Thievul ,Astral Radiance,104,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Thievul 
Togepi ,Astral Radiance,55,Common,Normal,Ungraded,Near Mint,13,Sword and shield,Togepi 
Togetic ,Astral Radiance,56,Uncommon,Normal,Ungraded,Near Mint,7,Sword and shield,Togetic 
Trekking Shoes ,Astral Radiance,156,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Trekking Shoes 
Unidentified Fossil ,Astral Radiance,157,Uncommon,Normal,Ungraded,Near Mint,1,Sword and shield,Unidentified Fossil 
Ursaluna ,Astral Radiance,124,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Ursaluna 
Ursaring ,Astral Radiance,123,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Ursaring 
Uxie ,Astral Radiance,65,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Uxie 
Vespiquen ,Astral Radiance,12,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Vespiquen 
Wait and See Turbo ,Astral Radiance,158,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Wait and See Turbo 
Whiscash ,Astral Radiance,36,Uncommon,Normal,Ungraded,Near Mint,7,Sword and shield,Whiscash 
Yanma ,Astral Radiance,6,Common,Normal,Ungraded,Near Mint,7,Sword and shield,Yanma 
Yanmega ,Astral Radiance,7,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Yanmega 
Zisu ,Astral Radiance,159,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Zisu 
Absol ,Astral Radiance,97,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Absol_reverse
Azelf ,Astral Radiance,67,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Azelf_reverse
Barboach ,Astral Radiance,35,Common,Reverse Holofoil,Ungraded,Near Mint,3,Sword and shield,Barboach_reverse
Bergmite ,Astral Radiance,47,Common,Reverse Holofoil,Ungraded,Near Mint,3,Sword and shield,Bergmite_reverse
Bisharp ,Astral Radiance,116,Uncommon,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Bisharp_reverse
Bronzor ,Astral Radiance,111,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Bronzor_reverse
Choy ,Astral Radiance,137,Uncommon,Reverse Holofoil,Ungraded,Near Mint,5,Sword and shield,Choy 
Combee ,Astral Radiance,11,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Combee 
Cranidos ,Astral Radiance,76,Uncommon,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Cranidos 
Cyndaquil ,Astral Radiance,23,Common,Reverse Holofoil,Ungraded,Near Mint,4,Sword and shield,Cyndaquil 
Dark Patch ,Astral Radiance,139,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Dark Patch 
Dartrix ,Astral Radiance,20,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Dartrix 
Dewott ,Astral Radiance,42,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Dewott 
Diancie ,Astral Radiance,68,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Diancie 
Drifloon ,Astral Radiance,63,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Drifloon 
Eevee ,Astral Radiance,119,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Eevee 
Energy Loto ,Astral Radiance,140,Uncommon,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Energy Loto 
Gallade ,Astral Radiance,62,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Gallade 
Gardenia's Vigor ,Astral Radiance,143,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Gardenia's Vigor 
Glameow ,Astral Radiance,127,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Glameow 
Golduck ,Astral Radiance,29,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Golduck 
Heracross ,Astral Radiance,8,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Heracross 
Hippopotas ,Astral Radiance,79,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hippopotas 
Hisuian Arcanine ,Astral Radiance,71,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Arcanine 
Hisuian Basculegion ,Astral Radiance,44,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Basculegion 
Hisuian Braviary ,Astral Radiance,132,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Braviary 
Hisuian Decidueye ,Astral Radiance,82,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Decidueye 
Hisuian Growlithe ,Astral Radiance,70,Common,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Hisuian Growlithe 
Hisuian Lilligant ,Astral Radiance,16,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Lilligant 
Hisuian Overqwil (90),Astral Radiance,90,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Overqwil (90)
Hisuian Overqwil (91),Astral Radiance,91,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Overqwil (91)
Hisuian Sneasel ,Astral Radiance,92,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Sneasel 
Kamado ,Astral Radiance,149,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Kamado 
Kirlia ,Astral Radiance,61,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Kirlia 
Kleavor (86),Astral Radiance,86,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Kleavor (86)
Magnemite ,Astral Radiance,105,Common,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Magnemite 
Magneton ,Astral Radiance,106,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Magneton 
Magnezone ,Astral Radiance,107,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Magnezone 
Mamoswine ,Astral Radiance,33,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Mamoswine 
Mantine ,Astral Radiance,34,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Mantine 
Miltank ,Astral Radiance,126,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Miltank 
Oshawott ,Astral Radiance,41,Common,Reverse Holofoil,Ungraded,Near Mint,10,Sword and shield,Oshawott 
Petilil ,Astral Radiance,15,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Petilil 
Poochyena ,Astral Radiance,95,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Poochyena 
Quilava ,Astral Radiance,24,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Quilava 
Ralts ,Astral Radiance,60,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Ralts 
Rapidash ,Astral Radiance,22,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Rapidash 
Regidrago ,Astral Radiance,118,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Regidrago 
Regieleki ,Astral Radiance,51,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Regieleki 
Regirock ,Astral Radiance,75,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Regirock 
Registeel ,Astral Radiance,108,Rare,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Registeel 
Roxanne ,Astral Radiance,150,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Roxanne 
Rufflet ,Astral Radiance,131,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Rufflet 
Scyther (005),Astral Radiance,5,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Scyther (005)
Shaymin ,Astral Radiance,14,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Shaymin 
Shieldon ,Astral Radiance,109,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Shieldon 
Spicy Seasoned Curry ,Astral Radiance,151,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Spicy Seasoned Curry 
Stantler ,Astral Radiance,125,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Stantler 
Sweet Honey ,Astral Radiance,153,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Sweet Honey 
Swinub ,Astral Radiance,31,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Swinub 
Switch Cart ,Astral Radiance,154,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Switch Cart 
Temple of Sinnoh ,Astral Radiance,155,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Temple of Sinnoh 
Togekiss ,Astral Radiance,57,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Togekiss 
Togetic ,Astral Radiance,56,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Togetic 
Trekking Shoes ,Astral Radiance,156,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Trekking Shoes 
Unidentified Fossil ,Astral Radiance,157,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Unidentified Fossil 
Ursaluna ,Astral Radiance,124,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Ursaluna 
Uxie ,Astral Radiance,65,Uncommon,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Uxie 
Vespiquen ,Astral Radiance,12,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Vespiquen 
Wait and See Turbo ,Astral Radiance,158,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Wait and See Turbo 
Whiscash ,Astral Radiance,36,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Whiscash 
Yanma ,Astral Radiance,6,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Yanma 
Yanmega ,Astral Radiance,7,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Yanmega 
Zisu ,Astral Radiance,159,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Zisu 
Allister ,Astral Radiance Trainer Gallery,tg24,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Allister 
Bronzong ,Astral Radiance Trainer Gallery,tg11,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Bronzong 
Galarian Articuno V ,Astral Radiance Trainer Gallery,tg16,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Galarian Articuno V 
Galarian Obstagoon ,Astral Radiance Trainer Gallery,tg10,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Galarian Obstagoon 
Gardevoir ,Astral Radiance Trainer Gallery,tg05,Ultra Rare,Holofoil,Ungraded,Near Mint,2,Sword and shield,Gardevoir 
Hoothoot ,Astral Radiance Trainer Gallery,tg12,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Hoothoot 
